"","id","year","season","mean","sd","latitude","longitude","sample"
"1","beauf",1995,"fall",18.619053648419,4.52001812308856,34.72,-76.67,62
"2","beauf",1995,"spring",22.3322008679152,3.47778944586218,34.72,-76.67,91
"3","beauf",1995,"summer",27.6182434876442,1.96895211355545,34.72,-76.67,92
"4","beauf",1995,"winter",11.150000451231,2.80583361276726,34.72,-76.67,90
"5","beauf",1996,"fall",17.4911372752098,3.97560999225236,34.72,-76.67,62
"6","beauf",1996,"spring",21.6141680907468,4.52633556642999,34.72,-76.67,91
"7","beauf",1996,"summer",26.9462910026769,1.33701230189048,34.72,-76.67,92
"8","beauf",1996,"winter",9.6132399051858,2.58193889792311,34.72,-76.67,91
"9","beauf",1997,"fall",18.6360404747063,3.93223010690694,34.72,-76.67,62
"10","beauf",1997,"spring",20.5324841796115,3.37090450256483,34.72,-76.67,91
"11","beauf",1997,"summer",26.8879341890703,1.44621392557002,34.72,-76.67,92
"12","beauf",1997,"winter",12.4137261010147,3.24450191855597,34.72,-76.67,90
"13","beauf",1998,"fall",19.4833696023212,3.42980167028044,34.72,-76.67,62
"14","beauf",1998,"spring",21.7733062577136,4.06508269204766,34.72,-76.67,91
"15","beauf",1998,"summer",27.5906772286734,1.24487498153825,34.72,-76.67,92
"16","beauf",1998,"winter",11.5342789669179,1.9158705257696,34.72,-76.67,90
"17","beauf",1999,"fall",19.4679537519387,2.91094720814181,34.72,-76.67,62
"18","beauf",1999,"spring",21.0697105641464,3.68299821673569,34.72,-76.67,91
"19","beauf",1999,"summer",27.1134726535542,2.28673363221851,34.72,-76.67,92
"20","beauf",1999,"winter",11.7394100606454,1.95873248701085,34.72,-76.67,90
"21","beauf",2000,"fall",18.209592683497,3.63399996391218,34.72,-76.67,62
"22","beauf",2000,"spring",22.822989011279,3.82799193355625,34.72,-76.67,86
"23","beauf",2000,"summer",26.7554155886209,1.44171870368845,34.72,-76.67,92
"24","beauf",2000,"winter",12.0424640777902,3.51904872954372,34.72,-76.67,91
"25","beauf",2001,"fall",18.4252757593031,2.73677736714916,34.72,-76.67,62
"26","beauf",2001,"spring",22.2342262062759,3.76417406074501,34.72,-76.67,91
"27","beauf",2001,"summer",26.8039199464944,1.76633863011554,34.72,-76.67,92
"28","beauf",2001,"winter",11.9426829689813,2.66142573242558,34.72,-76.67,90
"29","beauf",2002,"fall",19.3190028527567,4.25139486496254,34.72,-76.67,62
"30","beauf",2002,"spring",22.3762774430599,3.27840713741101,34.72,-76.67,91
"31","beauf",2002,"summer",27.6327380822771,1.21200380396939,34.72,-76.67,92
"32","beauf",2002,"winter",12.0018652710682,2.62043561730968,34.72,-76.67,90
"33","beauf",2003,"fall",19.2681799882887,2.48159236895386,34.72,-76.67,62
"34","beauf",2003,"spring",21.9791703867791,3.59268616257114,34.72,-76.67,91
"35","beauf",2003,"summer",26.8130637860966,1.69315474291461,34.72,-76.67,92
"36","beauf",2003,"winter",10.5115869849867,3.9310051350358,34.72,-76.67,90
"37","beauf",2004,"fall",19.0817370467178,3.49024634961921,34.72,-76.67,62
"38","beauf",2004,"spring",22.5248548753984,4.28714524777289,34.72,-76.67,91
"39","beauf",2004,"summer",27.0966241256293,1.7432539629254,34.72,-76.67,92
"40","beauf",2004,"winter",10.0318470062259,2.77765272526974,34.72,-76.67,91
"41","beauf",2005,"fall",22.0200385874033,3.43954255919599,34.72,-76.67,34
"42","beauf",2005,"spring",20.3678354943883,4.384086025736,34.72,-76.67,91
"43","beauf",2005,"summer",28.2134024271987,1.45797782273741,34.72,-76.67,92
"44","beauf",2005,"winter",9.69422748261209,2.6692651193642,34.72,-76.67,90
